Site,Date,Night,Time,DateTimeOriginal,SpeciesID
FCB-0512,2016-05-12,2016-05-12,23:22:13,2016-05-12 23:22,EPFULANO
FCB-0512,2016-05-12,2016-05-12,23:22:31,2016-05-12 23:22,EPFULANO
FCB-0512,2016-05-12,2016-05-12,23:27:05,2016-05-12 23:27,25K
FCB-0512,2016-05-12,2016-05-12,23:33:42,2016-05-12 23:33,35K
FCB-0512,2016-05-12,2016-05-12,23:34:21,2016-05-12 23:34,LANO
FCB-0512,2016-05-12,2016-05-12,23:48:19,2016-05-12 23:48,EPFULANO
FCB-0512,2016-05-12,2016-05-12,23:57:21,2016-05-12 23:57,LANO
FCB-0512,2016-05-13,2016-05-12,0:00:27,2016-05-13 0:00,35K
FCB-0512,2016-05-13,2016-05-12,0:00:38,2016-05-13 0:00,LANO
FCB-0512,2016-05-13,2016-05-12,0:01:28,2016-05-13 0:01,LANO
FCB-0512,2016-05-13,2016-05-12,0:01:34,2016-05-13 0:01,LANO
FCB-0512,2016-05-13,2016-05-12,0:01:49,2016-05-13 0:01,LANO
FCB-0512,2016-05-13,2016-05-12,0:29:13,2016-05-13 0:29,25K
FCB-0512,2016-05-13,2016-05-12,0:41:01,2016-05-13 0:41,EPFULANO
FCB-0512,2016-06-03,2016-06-03,21:57:16,2016-06-03 21:57,40K
FCB-0512,2016-05-13,2016-05-12,1:52:51,2016-05-13 1:52,35K
FCB-0512,2016-05-13,2016-05-12,1:54:08,2016-05-13 1:54,EPFULANO
FCB-0512,2016-05-13,2016-05-12,1:59:51,2016-05-13 1:59,EPFULANO
FCB-0512,2016-05-17,2016-05-17,21:18:02,2016-05-17 21:18,LANO
FCB-0512,2016-05-17,2016-05-17,21:29:10,2016-05-17 21:29,35K
FCB-0512,2016-05-17,2016-05-17,21:30:23,2016-05-17 21:30,MYCA
FCB-0512,2016-06-03,2016-06-03,21:58:41,2016-06-03 21:58,40K
FCB-0512,2016-05-17,2016-05-17,21:33:34,2016-05-17 21:33,35K
FCB-0512,2016-05-17,2016-05-17,21:51:59,2016-05-17 21:51,EPFULANO
FCB-0512,2016-05-18,2016-05-17,2:55:58,2016-05-18 2:55,EPFULANO
FCB-0512,2016-05-18,2016-05-18,21:01:39,2016-05-18 21:01,NOISE
FCB-0512,2016-05-18,2016-05-18,21:26:33,2016-05-18 21:26,35K
FCB-0512,2016-05-18,2016-05-18,21:45:02,2016-05-18 21:45,EPFULANO
FCB-0512,2016-05-18,2016-05-18,23:07:57,2016-05-18 23:07,40K
FCB-0512,2016-05-19,2016-05-18,0:11:15,2016-05-19 0:11,EPFULANO
FCB-0512,2016-05-20,2016-05-20,21:15:28,2016-05-20 21:15,EPFULANO
FCB-0512,2016-05-20,2016-05-20,21:25:09,2016-05-20 21:25,35K
FCB-0512,2016-05-20,2016-05-20,21:44:26,2016-05-20 21:44,35K
FCB-0512,2016-05-21,2016-05-20,4:25:06,2016-05-21 4:25,EPFULANO
FCB-0512,2016-05-26,2016-05-26,21:34:37,2016-05-26 21:34,EPFULANO
FCB-0512,2016-05-26,2016-05-26,22:26:02,2016-05-26 22:26,35K
FCB-0512,2016-05-26,2016-05-26,23:09:29,2016-05-26 23:09,40K
FCB-0512,2016-05-26,2016-05-26,23:11:14,2016-05-26 23:11,MYCA
FCB-0512,2016-05-27,2016-05-27,21:36:26,2016-05-27 21:36,35K
FCB-0512,2016-05-27,2016-05-27,21:37:15,2016-05-27 21:37,35K
FCB-0512,2016-05-27,2016-05-27,21:38:02,2016-05-27 21:38,LANO
FCB-0512,2016-05-27,2016-05-27,21:53:58,2016-05-27 21:53,35K
FCB-0512,2016-05-28,2016-05-27,0:02:18,2016-05-28 0:02,EPFULANO
FCB-0512,2016-05-28,2016-05-27,2:55:43,2016-05-28 2:55,35K
