Site,basin,file_zc,Date,Night,Time,DateTimeOriginal,Type,DR,Y,M,D,H,M,S,uS,Datum,Lat,Long,Zon,Easting,Northing,Elev,Sp_final,season,Species,Note,ID
CTB-0713,CTB,PBM-CTB-713A_0_20160716_223019_000.zc,2016-07-16,2016-07-16,22:30:19,2016-07-16 22:30,132,8,2016,7,16,22,30,19,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160717_215416_000.zc,2016-07-17,2016-07-17,21:54:16,2016-07-17 21:54,132,8,2016,7,17,21,54,16,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160717_235623_000.zc,2016-07-17,2016-07-17,23:56:23,2016-07-17 23:56,132,8,2016,7,17,23,56,23,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_050643_000.zc,2016-07-18,2016-07-17,5:06:43,2016-07-18 5:06,132,8,2016,7,18,5,6,43,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_050652_000.zc,2016-07-18,2016-07-17,5:06:52,2016-07-18 5:06,132,8,2016,7,18,5,6,52,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_213744_000.zc,2016-07-18,2016-07-18,21:37:44,2016-07-18 21:37,132,8,2016,7,18,21,37,44,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_222654_000.zc,2016-07-18,2016-07-18,22:26:54,2016-07-18 22:26,132,8,2016,7,18,22,26,54,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_222921_000.zc,2016-07-18,2016-07-18,22:29:21,2016-07-18 22:29,132,8,2016,7,18,22,29,21,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_223333_000.zc,2016-07-18,2016-07-18,22:33:33,2016-07-18 22:33,132,8,2016,7,18,22,33,33,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_225713_000.zc,2016-07-18,2016-07-18,22:57:13,2016-07-18 22:57,132,8,2016,7,18,22,57,13,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_230548_000.zc,2016-07-18,2016-07-18,23:05:48,2016-07-18 23:05,132,8,2016,7,18,23,5,48,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_231828_000.zc,2016-07-18,2016-07-18,23:18:28,2016-07-18 23:18,132,8,2016,7,18,23,18,28,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
